09:02:36.336873 lo    In  IP 127.0.0.1.51032 > 127.0.0.53.53: 25961+ [1au] A? 5643775.attacker.test. (50)
09:02:36.337099 eth0  Out IP 192.0.2.10.60304 > 192.0.2.220.53: 7311+ [1au] A? 5643775.attacker.test. (50)
09:02:36.348450 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 63 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348464 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 64 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348478 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 65 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348492 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 66 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348506 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 67 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348519 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 68 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348533 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 69 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348547 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 70 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348561 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 71 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348575 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 72 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348589 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 73 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348602 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 74 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348616 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 75 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348630 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 76 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348644 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 77 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348658 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 78 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348672 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 79 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348685 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 80 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348699 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 81 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348713 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 82 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348727 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 83 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348743 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 84 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348757 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 85 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348771 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 86 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348785 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 87 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348798 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 88 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348812 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 89 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348826 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 90 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348840 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 91 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348854 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 92 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348868 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 93 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348882 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 94 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348896 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 95 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348909 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 96 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348923 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 97 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348937 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 98 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348951 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 99 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348965 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 100 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348979 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 101 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.348992 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 102 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349006 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 103 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349020 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 104 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349034 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 105 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349048 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 106 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349062 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 107 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349075 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 108 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349089 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 109 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349103 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 110 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349117 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 111 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349131 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 112 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349145 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 113 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349158 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 114 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349172 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 115 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349186 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 116 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349200 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 117 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349214 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 118 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349228 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 119 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349241 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 120 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349255 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 121 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349269 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 122 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349283 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 123 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349297 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 124 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349311 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 125 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349325 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 126 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349339 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 127 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349353 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 128 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349366 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 129 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349380 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 130 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349394 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 131 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349408 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 132 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349422 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 133 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.349436 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 134 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
